,BASF-AI__ChEmbed-vanilla
SDSGlovesClassification,0.714
WikipediaIsotopesFissionClassification,0.877381
PubChemSynonymPC,0.679575
WikipediaCrystallographyAnalyticalClassification,0.912715
WikipediaSaltsSemiconductorsClassification,0.840404
PubChemSMILESPC,0.13214
SDSEyeProtectionClassification,0.61885
WikipediaOrganicInorganicClassification,0.84943
PubChemSMILESBitextMining,0.000767
WikipediaSpecialtiesInChemistryClustering,0.305136
ChemHotpotQARetrieval,0.8354233333333333
WikipediaBioMetChemClassification,0.961358
WikipediaCryobiologySeparationClassification,0.888841
WikipediaChemistryTopicsClassification,0.823515
PubChemWikiParagraphsPC,0.250185
WikipediaBiolumNeurochemClassification,0.938776
ChemNQRetrieval,0.57651
WikipediaSolidStateColloidalClassification,0.770045
PubChemAISentenceParaphrasePC,0.947272
WikipediaTheoreticalAppliedClassification,0.591105
WikipediaChemFieldsClassification,0.419998
WikipediaChemEngSpecialtiesClassification,0.71371
WikipediaGreenhouseEnantiopureClassification,0.946491
PubChemWikiPairClassification,0.960861
WikipediaCompChemSpectroscopyClassification,0.767421
WikipediaChemistryTopicsClustering,0.746792
WikipediaLuminescenceClassification,0.885366
