,BASF-AI__Chembedding-full
SDSGlovesClassification,0.6731
WikipediaIsotopesFissionClassification,0.863095
PubChemSynonymPC,0.635592
WikipediaCrystallographyAnalyticalClassification,0.912371
WikipediaSaltsSemiconductorsClassification,0.859596
PubChemSMILESPC,0.118314
SDSEyeProtectionClassification,0.71185
WikipediaOrganicInorganicClassification,0.856654
PubChemSMILESBitextMining,0.000618
WikipediaSpecialtiesInChemistryClustering,0.2005
ChemHotpotQARetrieval,0.8222666666666667
WikipediaBioMetChemClassification,0.966319
WikipediaCryobiologySeparationClassification,0.88412
WikipediaChemistryTopicsClassification,0.815914
PubChemWikiParagraphsPC,0.177324
WikipediaBiolumNeurochemClassification,0.926531
ChemNQRetrieval,0.53051
WikipediaSolidStateColloidalClassification,0.768018
PubChemAISentenceParaphrasePC,0.934096
WikipediaTheoreticalAppliedClassification,0.600291
WikipediaChemFieldsClassification,0.452909
WikipediaChemEngSpecialtiesClassification,0.697581
WikipediaGreenhouseEnantiopureClassification,0.948684
PubChemWikiPairClassification,0.874289
WikipediaCompChemSpectroscopyClassification,0.759276
WikipediaChemistryTopicsClustering,0.570342
WikipediaLuminescenceClassification,0.881707
