,BASF-AI__Chembedding-prog
ClimateFEVERHardNegatives,0.17667
STS14,0.770172
STS17,0.831569
CQADupstackUnixRetrieval,0.37979
ImdbClassification,0.835832
STS22.v2,0.646974
STS12,0.691944
FEVERHardNegatives,0.57147
STSBenchmark,0.778446
HotpotQAHardNegatives,0.61812
TwentyNewsgroupsClustering.v2,0.326911
ToxicConversationsClassification,0.641113
MassiveScenarioClassification,0.72189
MassiveIntentClassification,0.662206
MedrxivClusteringS2S.v2,0.274461
AskUbuntuDupQuestions,0.599974
BiorxivClusteringP2P.v2,0.323168
Touche2020Retrieval.v3,0.47862
TRECCOVID,0.46064
SummEvalSummarization.v2,0.297652
StackExchangeClustering.v2,0.402953
TwitterSemEval2015,0.723869
STS13,0.79812
Banking77Classification,0.804448
STS15,0.84556
StackExchangeClusteringP2P.v2,0.357471
ArguAna,0.51749
TweetSentimentExtractionClassification,0.563554
AmazonCounterfactualClassification,0.800299
ArXivHierarchicalClusteringS2S,0.522004
ArXivHierarchicalClusteringP2P,0.554766
MTOPDomainClassification,0.916575
FiQA2018,0.32366
SprintDuplicateQuestions,0.934871
MedrxivClusteringP2P.v2,0.317875
MindSmallReranking,0.303844
SICK-R,0.742917
BIOSSES,0.844826
SCIDOCS,0.16124
TwitterURLCorpus,0.854919
CQADupstackGamingRetrieval,0.57704
