,BASF-AI__Chembedding-vanilla
ClimateFEVERHardNegatives,0.20941
STS14,0.791168
STS17,0.857734
CQADupstackUnixRetrieval,0.38254
ImdbClassification,0.84934
STS22.v2,0.639451
STS12,0.721843
FEVERHardNegatives,0.65758
STSBenchmark,0.815029
HotpotQAHardNegatives,0.64165
TwentyNewsgroupsClustering.v2,0.372794
ToxicConversationsClassification,0.653564
MassiveScenarioClassification,0.741392
MassiveIntentClassification,0.683322
MedrxivClusteringS2S.v2,0.299521
AskUbuntuDupQuestions,0.603627
BiorxivClusteringP2P.v2,0.353475
Touche2020Retrieval.v3,0.46821
TRECCOVID,0.45588
SummEvalSummarization.v2,0.31852
StackExchangeClustering.v2,0.4628
TwitterSemEval2015,0.742408
STS13,0.820229
Banking77Classification,0.813149
STS15,0.860208
StackExchangeClusteringP2P.v2,0.370717
ArguAna,0.54482
TweetSentimentExtractionClassification,0.589304
AmazonCounterfactualClassification,0.793731
ArXivHierarchicalClusteringS2S,0.528511
ArXivHierarchicalClusteringP2P,0.548779
MTOPDomainClassification,0.927177
FiQA2018,0.33811
SprintDuplicateQuestions,0.941825
MedrxivClusteringP2P.v2,0.331246
MindSmallReranking,0.303815
SICK-R,0.757502
BIOSSES,0.866947
SCIDOCS,0.17621
TwitterURLCorpus,0.85975
CQADupstackGamingRetrieval,0.592
