,nomic-ai__nomic-embed-text-v1-unsupervised
ClimateFEVERHardNegatives,0.23153
STS14,0.800759
STS17,0.892009
CQADupstackUnixRetrieval,0.39196
ImdbClassification,0.84356
STS22.v2,0.646812
STS12,0.729828
FEVERHardNegatives,0.69409
STSBenchmark,0.83955
HotpotQAHardNegatives,0.65291
TwentyNewsgroupsClustering.v2,0.449199
ToxicConversationsClassification,0.682178
MassiveScenarioClassification,0.739139
MassiveIntentClassification,0.676093
MedrxivClusteringS2S.v2,0.325657
AskUbuntuDupQuestions,0.590138
BiorxivClusteringP2P.v2,0.387819
Touche2020Retrieval.v3,0.5502
TRECCOVID,0.61013
SummEvalSummarization.v2,0.304201
StackExchangeClustering.v2,0.522192
TwitterSemEval2015,0.681584
STS13,0.852106
Banking77Classification,0.811234
STS15,0.874973
StackExchangeClusteringP2P.v2,0.388445
ArguAna,0.54865
TweetSentimentExtractionClassification,0.556565
AmazonCounterfactualClassification,0.774179
ArXivHierarchicalClusteringS2S,0.544416
ArXivHierarchicalClusteringP2P,0.567453
MTOPDomainClassification,0.922845
FiQA2018,0.38776
SprintDuplicateQuestions,0.961428
MedrxivClusteringP2P.v2,0.349487
MindSmallReranking,0.304472
SICK-R,0.735035
BIOSSES,0.871074
SCIDOCS,0.19968
TwitterURLCorpus,0.854697
CQADupstackGamingRetrieval,0.61306
